Company Name,Industry Name,SIC,Exchange,Country,Stock Price,% Chg in last year,Trading Volume,# of shares outstanding,Market Cap,Total Debt,Firm Value,Enterprise Value,Cash,Revenues: Last yr,Trailing 12-mth Revenues,Current PE,Trailing PE,Forward EPS,Forward PE,PEG Ratio,PBV Ratio,PS Ratio,EV/EBIT,EV/EBITDA,EV/ Invested Capital,Value/BV of Capital,EV/Sales,EV/ Trailing Sales,Growth in EPS: Last 5 years,Expected Growth in EPS: next 5 years,Expected Growth in Revenues: next 5 years,Growth in Revenue- last year, 3-yr Regression Beta,Value Line Beta,HiLo risk,3-yr Standard Deviation (Stock Price),Reinvestment,Correlation,Payout Ratio,Reinvestment Rate,ROE,ROC,Net Margin,Pre-tax Operating Margin,Invested Capital,BV of Assets,Non-cash WC,Chg in non-cash WC,Net Income,EBIT,EBIT(1-t),EBITDA,FCFF,Eff Tax Rate,Non-cash WC as % of Revenues,Cash as % of Firm Value,Cash as % of Revenues,Cash as % of Total Assets,Capital Expenditures,Depreciation,SG&A Expenses,Trailing Revenues,Trailing Net Income,Dividends,Intangible Assets/Total Assets,Fixed Assets/Total Assets,Market D/E,Market Debt to Capital,Book Debt to Capital,Dividend Yield,Insider Holdings,Institutional Holdings
Sharp Holding Corp,Computer Software/Svcs,3579,NDQ,US,0,0,448600,27.1,0.8,2.6,3.4,3.4,0,0.1,0.1,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,34,34,NA,NA,NA,-0.16,0,1,0.98,0,0,NA,NA,0,NA,1.46,-27,-33.6,-2.3,0.3,-2.7,0,-2.7,-3.36,-3.36,-3.26,-3.36,0,-27,0,0,0,0.1,0.1,2.2,0.1,-3.8,0,0.67,0.33,3.25,0.76,NA,0,NA,0
Sharper Image,Retail (Special Lines),5600,NDQ,US,9.74,0.04,371844,15.6,140.4,0,140.4,46.3,94.1,760,706.3,9.62,17.12,0.05,194.8,NA,0.68,0.18,0.99,0.68,0.41,0.68,0.06,0.07,0.22,-0.01,0.07,0.15,1.14,1.1,0.39,0.44,25.72,0.52,0,0.93,0.07,0.25,0.02,0.06,111.9,376.1,39.3,-2.78,14.6,46.74,27.58,67.84,1.85,0.41,0.05,0.67,0.13,0.25,49.6,21.1,321.7,706.3,8.2,0,0,0.27,0,0,0,0,0.24,0.89
Shaw Commun. 'B',Cable TV,4840,TSE,Foreign,25.15,-0.02,76469,220,5587.5,2744.8,8332.3,8330.6,1.7,2209.8,2209.8,40.46,40.46,0.7,35.93,0.72,3.59,2.53,8.48,5.47,1.57,1.74,3.77,3.77,NA,0.57,0.09,0.12,1.41,1.1,NA,0.28,-204.1,1,0.65,-0.33,0.07,0.12,0.06,0.44,5294.4,7416.9,-333.7,0,138.1,982.04,610.44,1523.04,814.54,0.38,-0.15,0,0,0,336.9,541,0,2209.8,138.1,90.2,0.64,0.3,0.49,0.33,0.57,0.02,0.89,0.52
Shaw Group,Metal Fabricating,3400,NYS,US,29.09,-0.01,597500,79,2354.5,37.4,2391.9,2348.3,43.6,3265.9,3265.9,43.36,43.36,1.3,22.38,2.28,2.06,0.72,19.23,15.31,2.06,2.02,0.72,0.72,0.01,0.19,0.01,-0.14,1.69,1.55,0.35,0.5,-1,0.68,0,-0.01,0.05,0.08,0.02,0.04,1138.4,2070.7,442.7,0,54.3,122.14,88.59,153.34,89.59,0.27,0.14,0.02,0.01,0.02,30.2,31.2,201.5,3265.9,54.3,0,0.24,0.08,0.02,0.02,0.03,0,0.06,0.92
ShawCor Ltd. A,Oilfield Svcs/Equip.,3533,TSE,Foreign,15.56,-0.02,160015,75,1150.8,90.4,1241.2,1169.2,72,863.4,1062.7,NA,NA,0.79,19.7,NA,2.6,1.33,23.93,10.69,2.53,2.33,1.35,1.1,NA,NA,NA,0.05,0.02,0.6,0.27,0.21,-11.09,0.02,NA,-0.23,-0.2,0.11,-0.1,0.06,461.8,776.1,72.4,16.71,-86.7,48.87,48.87,109.37,59.96,0,0.08,0.06,0.07,0.09,32.7,60.5,6.2,1062.7,-17.5,6.75,0.23,0.29,0.08,0.07,0.17,0.01,NA,0.01
Shell Canada,Canadian Energy,1299,TSE,Foreign,42.05,0.1,508442,825.7,31303.4,137,31440.4,31313.4,127,11288,12355,23.15,23.15,2.61,16.11,2.32,4.8,2.77,11.36,9,4.79,4.72,2.77,2.53,0.2,0.1,0.08,0.28,0.01,0.6,0.25,0.16,282.08,0.01,0.27,0.15,0.21,0.28,0.12,0.24,6540,10906,-179,-16.92,1352,2756.53,1856,3478.53,1573.92,0.33,-0.02,0,0.01,0.01,1021,722,1925,12355,1352,363.31,0,0.74,0,0,0.02,0.01,0.01,0
Shell's Seafood Rest. Inc.,Restaurant,5812,NDQ,US,0.94,-0.01,51500,8.6,14.2,6.6,20.8,18.5,2.3,41.6,43.9,NA,NA,NA,NA,NA,142,0.34,1.63,1.49,3.56,2.93,0.44,0.42,NA,NA,NA,-0.49,-3.3,0.2,0.39,1.49,0.17,-0.44,NA,0.02,-2.6,2.18,-0.03,0.27,5.2,13.5,-4.1,-0.23,-1.3,11.34,11.34,12.44,11.17,0,-0.1,0.11,0.05,0.17,1.5,1.1,3.2,43.9,-0.9,0,0.19,0.53,0.46,0.32,0.93,0,NA,0.17
Shelron Group Inc,Computer Software/Svcs,3579,NDQ,Foreign,0.06,0.18,2628341,310.3,21,0.2,21.2,21.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1.05,0.52,0,0,NA,NA,NA,NA,NA,NA,NA,-0.3,0.2,-0.5,0,-0.6,NA,NA,NA,NA,0,NA,0,NA,0,0,0,0.5,0,-1.1,0,0,0.5,0.01,0.01,NA,0,NA,0
Shenandoah Telecommunications,Telecom. Services,4810,NDQ,US,39.84,-0.04,14059,7.6,318.4,52.3,370.7,356.5,14.2,121,139.4,31.22,31.84,1.36,29.29,2.6,2.8,2.63,9.22,6.18,2.35,2.23,2.95,2.56,NA,0.12,NA,0.14,0,0.85,0.35,0,15.53,NA,0.34,0.64,0.09,0.16,0.08,0.32,151.9,211.2,2.8,0.43,10.2,38.65,24.26,57.65,8.73,0.37,0.02,0.04,0.1,0.07,34.1,19,30.3,139.4,10,3.5,0.06,0.74,0.16,0.14,0.31,0.01,NA,0.15
SHEP Technologies Inc.,Auto Parts,3716,NDQ,Foreign,0.01,0,12100,26.3,0.3,0.1,0.4,0.4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.6,NA,0,0,NA,NA,NA,NA,NA,NA,NA,-1.3,0.1,-1.4,0,-1.9,NA,NA,NA,NA,0,NA,0,NA,0,0,0,1.8,0,0,0,0,0,0.33,0.25,NA,0,NA,0
Sherritt Intl Corp,Metals & Mining (Div.),1000,TSE,Foreign,10.12,-0.01,144562,131.4,1362.4,822.2,2184.6,1757.6,427,1086,1090.7,8.66,9.92,NA,NA,0.87,1.21,1.25,3.58,2.6,1.15,1.12,1.62,1.61,NA,0.1,NA,0.32,0.4,0.8,0.15,0.3,-40.78,0.26,0,-0.11,0.14,0.24,0.14,0.45,1522.6,2597.6,282.5,1.22,157.3,490.65,362.85,676.05,403.63,0.26,0.26,0.2,0.39,0.16,143.4,185.4,0,1090.7,137.3,0,0,0.58,0.6,0.38,0.42,0,NA,0
Sherwin-Williams,Chemical (Specialty),2820,NYS,US,45.42,-0.01,360200,140.8,6284,499.4,6783.4,6737.5,45.9,6113.8,6680.3,15.98,15.98,3.42,13.28,1.28,3.81,1.03,8.89,7.62,3.21,3.16,1.1,1.01,0.08,0.13,0.11,0.15,0.99,1,0.09,0.2,2.25,1.01,0.29,0,0.24,0.25,0.06,0.12,2100.7,4274.2,227.2,21.05,393.3,758.11,515.52,883.71,513.26,0.32,0.04,0.01,0.01,0.01,106.8,125.6,2068.9,6680.3,393.3,115.46,0.28,0.17,0.08,0.07,0.23,0.02,0.2,0.67
Sherwood Brands Inc,Food Processing,2000,NDQ,US,1.01,0,5250,4,4.1,10.5,14.6,14.6,0,45.9,32,NA,NA,NA,NA,NA,1.03,0.09,NA,17.8,1.01,1.01,0.32,0.46,NA,NA,NA,-0.07,0,0,NA,0,-2.95,NA,NA,10.54,-1.03,-0.02,-0.09,-0.01,14.5,20.4,7.1,-2.15,-4.1,-0.28,-0.28,0.82,2.67,0,0.15,0,0,0,0.3,1.1,12.6,32,-3.6,0,0.1,0.3,2.56,0.72,0.72,0,NA,0.16
Shiloh Inds.,Steel (Integrated),3312,NDQ,US,13.34,0,8453,15.9,212.9,103.3,316.2,315.5,0.7,634.6,634.6,7.94,7.94,NA,NA,NA,1.42,0.34,4.14,2.88,1.25,1.25,0.5,0.5,0.01,NA,NA,-0.02,1.83,0.55,0.31,0.78,-11.1,0.47,0,-0.19,0.18,0.23,0.04,0.12,252.9,394.8,36.7,0,26.8,76.22,58.72,109.72,69.82,0.23,0.06,0,0,0,22.4,33.5,35.6,634.6,26.8,0,0,0.61,0.49,0.33,0.41,0,NA,0.24
Shire Pharmaceuticals,Drug,2834,NDQ,Foreign,38.79,-0.01,249435,161.6,6383.3,43.3,6426.6,4990.7,1435.9,1363.2,1476.9,19.15,21.71,NA,NA,1.12,2.84,4.68,8.76,7.91,5.82,2.8,3.66,3.38,NA,0.17,NA,0.09,0.84,0.85,0.13,0.29,4.99,0.59,0.05,0.01,0.15,0.48,0.24,0.42,858.1,2714.9,104.2,8.69,333.3,569.68,409.76,630.98,404.77,0.28,0.08,0.22,0.97,0.53,57.6,61.3,516.6,1476.9,294,17.78,0.2,0.05,0.01,0.01,0.02,0,NA,0.31
Shoe Carnival,Shoe,3140,NDQ,US,21.92,0.02,44806,12.9,284.5,7.4,291.9,287,4.9,590.2,636,22.76,16.83,1.31,16.73,1.63,1.81,0.48,8.13,5.78,1.8,1.78,0.49,0.45,0.07,0.14,NA,0.05,1.35,1.05,0.35,0.45,8.39,0.6,0,0.38,0.08,0.14,0.02,0.06,159.4,256.9,110.7,8.59,12.5,35.29,21.88,49.69,13.49,0.38,0.19,0.02,0.01,0.02,14.2,14.4,146.4,636,16.9,0,0,0.27,0.03,0.03,0.05,0,NA,0.46
Shoe Pavillion,Shoe,3140,NDQ,US,7.84,-0.02,9899,6.8,55.8,6.6,62.4,61.2,1.2,85.8,97.8,26.57,23.25,NA,NA,NA,2.71,0.65,11.89,9.35,2.35,2.29,0.71,0.63,NA,NA,NA,0.03,-0.51,0.8,0.54,0.57,3.23,-0.18,0,1.03,0.1,0.12,0.02,0.06,26,44,24.5,3.43,2.1,5.15,3.13,6.55,-0.1,0.39,0.29,0.02,0.01,0.03,1.2,1.4,26.2,97.8,2.4,0,0,0.07,0.12,0.11,0.24,0,NA,0.05
ShoLodge Inc.,Hotel/Gaming,7000,NDQ,US,5.15,0,600,5,25,19.2,44.2,40,4.2,29,22.1,NA,NA,NA,NA,NA,0.52,0.86,NA,346.32,0.64,0.66,1.38,1.81,NA,NA,NA,-0.2,0.15,0.35,NA,0.37,-8.93,0.08,NA,10.1,-0.19,-0.01,-0.31,-0.03,62.9,69.4,34.6,-8.23,-8.9,-0.88,-0.88,0.12,8.05,0,1.19,0.1,0.19,0.06,0.3,1,5,22.1,0,0,0.01,0.24,0.77,0.43,0.29,0,NA,0.06
Shoppers Drug Mart Corp,Pharmacy Services,5910,TSE,Foreign,43.92,0,201860,209.7,9225.8,820,10045.8,10037,8.8,4415.2,6530.1,35.8,27.56,NA,NA,NA,4.99,2.09,17.22,14.78,3.78,3.77,2.27,1.54,NA,NA,NA,0.1,0,0.45,0.1,0,77.23,NA,0,0.21,0.14,0.14,0.06,0.13,2658.6,3303.3,27,12.93,257.7,582.81,365.85,679.01,288.61,0.37,0.01,0,0,0,160.5,96.2,0,6530.1,334.7,0,0.6,0.14,0.09,0.08,0.31,0,NA,0.01
Shopsmith Inc,Machinery,3500,NDQ,US,0.24,0,900,2.6,0.6,2.5,3.1,3.1,0,13.4,13.2,NA,NA,NA,NA,NA,0.43,0.04,NA,NA,0.79,0.79,0.23,0.23,NA,NA,NA,-0.03,0.63,0.7,0.44,0.84,-0.1,0.15,NA,0.16,-0.57,-0.17,-0.06,-0.05,3.9,6.9,0.2,0,-0.8,-0.64,-0.64,-0.44,-0.54,0,0.01,0,0,0,0.1,0.2,7.5,13.2,-0.6,0,0,0.36,4.17,0.81,0.64,0,NA,0
Shore Finl Corp,Bank,6000,NDQ,US,17,-0.01,388,2.1,35.7,22,57.7,51.4,6.3,NA,NA,14.88,14.28,NA,NA,NA,1.62,NA,NA,NA,1.36,1.31,NA,NA,0.12,NA,NA,0,0,0.5,0.15,0,0,NA,0,NA,0.11,NA,NA,NA,37.7,237.7,0,0,2.4,NA,NA,NA,NA,0.3,NA,0.11,NA,0.03,0,0,3,0,2.5,0,0,0,0.62,0.38,0.5,0,NA,0.02
Shuffle Master,Recreation,7900,NDQ,US,25.14,0,400240,35,887,150.3,1037.3,990.3,47,84.8,113.6,39.42,30.07,0.81,31.04,1.49,60.34,10.46,22.36,18.94,8.39,6.29,11.68,8.72,0.34,0.27,NA,0.33,1.29,1,0.19,0.39,4.62,0.66,0,0.16,1.53,0.24,0.27,0.52,118,185.3,18.9,6.42,22.5,44.29,28.79,52.29,24.17,0.35,0.22,0.05,0.41,0.25,6.2,8,37.3,113.6,29.5,0,0.46,0.05,0.17,0.14,0.91,0,NA,0
Shurgard Storage Ctrs 'A',Industrial Services,7300,NYS,US,56.75,-0.01,49700,46.6,2725.7,1684.5,4410.2,4359.9,50.3,425.7,470.5,90.55,NA,1.75,32.43,NA,3.54,6.4,21.09,14.83,1.63,1.7,10.24,9.27,-0.11,NA,NA,0.38,0.28,0.7,0.21,0.21,136.84,0.27,3.47,0.66,0.03,0.08,0.07,0.49,2676.7,2932.9,-53.8,-5.66,30.1,206.76,206.27,294.06,69.43,0,-0.13,0.01,0.11,0.02,229.8,87.3,33,470.5,0,104.38,0.01,0.93,0.62,0.38,0.65,0.04,NA,0.71
SI Financial Group Inc,Thrift,6120,NDQ,Foreign,10.95,0,3133,12.6,137.1,9.9,147,116.2,30.8,NA,NA,47.28,40.32,NA,NA,NA,1.7,NA,NA,NA,1.94,1.62,NA,NA,NA,NA,NA,0,0,0,0.12,0,0,NA,0,NA,0.04,NA,NA,NA,59.9,624.6,0,0,2.9,NA,NA,NA,NA,0.32,NA,0.21,NA,0.05,0,0,6.3,0,3.4,0,0,0.01,0.07,0.07,0.11,0,NA,0.08
SI International Inc.,Information Services,8900,NDQ,US,30.57,0,108367,11,352.4,31.3,383.7,377.9,5.8,262.3,326.2,32.33,26.3,NA,NA,2.02,2.43,1.34,16.01,14.26,2.22,2.18,1.44,1.16,NA,0.16,NA,0.19,0,1.05,0.2,0,9.29,NA,0,0.65,0.08,0.08,0.04,0.09,170.6,212.1,45.1,10.99,10.9,23.61,14.29,26.51,5,0.39,0.17,0.02,0.02,0.03,1.2,2.9,71.9,326.2,13.4,0,0.6,0.02,0.09,0.08,0.18,0,NA,0.96
Siboney Corp.,Educational Services,8299,NDQ,US,0.18,0,3000,17.4,3.4,0,3.4,2.7,0.7,10.2,8.5,8.5,NA,NA,NA,NA,0.68,0.33,1.93,1.23,0.63,0.68,0.26,0.32,NA,NA,NA,0.17,0.42,0.45,0.48,0.6,-0.88,0.14,0,-1.03,0.08,0.2,0.04,0.14,4.3,6.4,1.7,-0.28,0.4,1.4,0.86,2.2,1.74,0.39,0.17,0.21,0.08,0.11,0.2,0.8,7.4,8.5,-0.8,0,0.16,0.06,0,0,0,0,NA,0
Sico Inc.,Chemical (Specialty),2820,TSE,Foreign,14.7,0.02,11720,13.6,194.2,10.2,204.4,204.3,0.1,303.4,310.1,12.29,10.97,1.26,11.67,NA,1.65,0.64,6.77,5.93,1.51,1.56,0.67,0.66,0.1,NA,NA,0.06,0.88,0.6,0.14,0.21,2.22,0.85,0.24,0.11,0.13,0.15,0.05,0.1,135.1,170.7,50.6,1.12,15.8,30.16,20.25,34.46,18.03,0.33,0.17,0,0,0,5.4,4.3,0,310.1,17.7,3.81,0.29,0.18,0.05,0.05,0.08,0.02,NA,0
Siebel Systems,Computer Software/Svcs,3579,NDQ,US,10.57,0,3053592,509,5581.1,0,5581.1,3334.6,2246.5,1339.8,1352.8,47.82,47.82,0.19,55.63,5.03,2.48,4.17,13.28,9.18,33346,2.48,2.49,2.46,0.05,0.1,0.01,-0.03,2.44,1.95,0.14,0.44,-107.08,1.11,0,-0.68,0.05,1578.05,0.09,0.19,0.1,3087.4,-379.6,-3.68,116.7,251.08,157.81,363.18,264.89,0.37,-0.28,0.4,1.66,0.73,8.7,112.1,744.9,1352.8,116.7,0,0.07,0.03,0,0,0,0,0.15,0.7
Siebert Finl Corp,Financial Svcs. (Div.),6100,NDQ,US,2.38,-0.01,4691,22.1,52.3,0,52.3,19.8,32.5,26.4,30.1,34.87,29.06,NA,NA,NA,1.49,1.98,8.75,5.26,7.62,1.49,0.75,0.66,NA,NA,NA,0.16,1.08,1,0.32,0.49,-1.48,0.44,0,-1.08,0.04,0.53,0.06,0.09,2.6,41.6,-1.3,-0.18,1.5,2.26,1.37,3.76,2.86,0.39,-0.05,0.62,1.08,0.78,0.2,1.5,0,30.1,1.8,0,0.05,0.03,0,0,0,0,NA,0.02
Sierra Bancorp,Bank,6000,NDQ,US,22.79,-0.01,2724,9.6,226.1,105.9,332,295.3,36.7,NA,NA,17,16.04,NA,NA,NA,3.18,NA,NA,NA,2.1,1.88,NA,NA,NA,NA,NA,0,0,0.35,0.14,0,0,NA,0,NA,0.19,NA,NA,NA,140.3,997.5,0,0,13.3,NA,NA,NA,NA,0.35,NA,0.11,NA,0.04,0,0,5.4,0,14.1,0,0.01,0,0.47,0.32,0.6,0,NA,0.06
Sierra Health Svcs.,Medical Services,8000,NYS,US,79.99,-0.01,87500,29.4,2330.2,125.5,2455.7,2103.1,352.6,1575.4,1363.9,18.93,19.5,3.54,22.6,1.21,11.55,1.48,9.79,9.07,NA,7.51,1.33,1.54,0.2,0.16,NA,-0.03,0.18,1.15,0.24,0.46,35.92,0.08,0,0.26,0.61,-5.39,0.08,0.14,-25.4,689.8,-199.8,26.82,123.1,214.88,136.93,231.98,101.01,0.36,-0.13,0.14,0.26,0.51,26.2,17.1,181.4,1363.9,119.5,0,0.02,0.1,0.05,0.05,0.38,0,NA,0.96
Sierra Monitor Corp /CA/,Environmental,4953,NDQ,US,1.1,0,1250,11,13.8,0,13.8,13,0.8,9.1,9.1,NA,NA,NA,NA,NA,4.06,1.52,NA,174.68,5,4.06,1.43,1.43,NA,NA,NA,0.16,-0.06,0,0.56,1.29,0,-0.01,NA,0,-0.06,-0.05,-0.02,-0.01,2.6,4.4,2.3,0,-0.2,-0.13,-0.13,0.07,-0.13,0,0.25,0.06,0.09,0.18,0.2,0.2,5.8,9.1,-0.3,0,0,0.05,0,0,0,0,NA,0
Sierra Pacific Res.,Electric Utility (West),4913,NYS,US,13.03,0.02,1200900,117.5,2375.3,4089.8,6465.1,6198.8,266.3,2823.8,2908.3,31.54,31.54,0.68,19.16,NA,1.59,0.84,7.3,4.68,1.14,1.15,2.2,2.13,NA,NA,-0.04,0.01,1.99,1.1,0.26,0.48,-40.32,0.83,0,-0.07,0.05,0.1,0.03,0.3,5422.1,7528.5,52.8,1.58,75.3,849.12,555.95,1323.42,596.27,0.35,0.02,0.04,0.09,0.04,432.4,474.3,0,2908.3,75.3,0,0,0.65,1.72,0.63,0.73,0,NA,0.87
Sierra Wireless Inc,Wireless Networking,7380,NDQ,Foreign,11.1,0.01,486871,25.4,273.3,1,274.3,142.5,131.8,211.2,128.4,10.98,NA,-0.83,NA,0.73,1.57,1.29,4.13,3.44,3.32,1.57,0.67,1.11,NA,0.15,NA,1.03,5.17,1.7,0.48,1.25,0.44,0.83,0,0.01,0.14,0.68,0.12,0.16,42.9,215.6,-0.6,0.24,24.9,34.53,29.35,41.43,28.92,0.15,0,0.48,1.03,0.61,7.1,6.9,53.5,128.4,-30.2,0,0.15,0.05,0,0,0.01,0,NA,0.45
SIFCO Industries,Precision Instrument,3800,AMS,US,3.9,0.09,20400,5.2,18,1.9,19.9,19,0.9,81,81,NA,NA,NA,NA,NA,0.8,0.22,NA,31.67,0.81,0.82,0.23,0.23,NA,NA,NA,-0.07,1.92,0.85,0.35,0.54,-1,0.71,NA,0.96,-0.01,-0.04,0,-0.03,23.4,49.5,10.6,0,-0.2,-2.6,-1.04,0.6,-0.04,0.6,0.13,0.05,0.01,0.02,2.2,3.2,12.2,81,-0.2,0,0,0.38,0.11,0.1,0.08,0,NA,0.25
SIFY Ltd,Internet,7370,NDQ,Foreign,10.76,0.01,832975,0,0,0,0,0,0,NA,86.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1.7,0.51,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,0,0,0,86.4,-8.1,0,NA,NA,NA,NA,NA,0,NA,0.07
SIGA Technologies Inc,Drug,2834,NDQ,US,0.95,0.09,63020,24.5,21.8,0,21.8,19.8,2,1.8,7.2,NA,NA,-0.1,NA,NA,4.84,12.11,NA,NA,7.33,4.74,11,2.75,NA,NA,NA,0.92,1.48,0.7,0.45,0.55,-4,0.54,NA,0.65,-1.59,-2.28,-4.06,-3.41,2.7,6.1,-1.1,-3.3,-7.3,-6.14,-6.14,-5.04,-2.14,0,-0.61,0.09,0.28,0.33,0.4,1.1,8.1,7.2,-3.6,0,0.49,0.08,0,0,0,0,NA,0.03
Sigma Designs,Computers/Peripherals,3573,NDQ,US,15.38,-0.03,702860,21,330.3,0,330.3,311.5,18.8,31.4,30.8,183.5,235.93,0.04,384.5,NA,11.35,10.52,179.07,139.09,30.24,11.35,9.92,10.11,NA,NA,NA,0.01,3.45,1.45,0.43,0.82,0.6,0.84,0,0.34,0.06,0.17,0.06,0.06,10.3,34.9,5.3,-0.1,1.8,1.74,1.74,2.24,1.14,0,0.17,0.06,0.61,0.54,1.2,0.5,20.7,30.8,1.4,0,0,0.05,0,0,0,0,NA,0.35
Sigma-Aldrich,Chemical (Specialty),2820,NDQ,US,63.29,-0.01,246360,68.7,4269.9,186.1,4456,4286.8,169.2,1409.2,1607.9,18.33,18.33,3.88,16.31,1.93,3.52,3.03,10.78,9.1,3.49,3.19,3.04,2.67,0.11,0.1,0.1,0.12,0.68,0.8,0.1,0.18,67.73,0.75,0.22,0.23,0.19,0.24,0.17,0.28,1228.6,1745,502.3,70.83,232.9,397.54,296.94,470.94,229.21,0.25,0.36,0.04,0.11,0.1,70.3,73.4,390,1607.9,232.9,52.21,0.09,0.33,0.04,0.04,0.13,0.01,0.01,0.76
Sigmatel Inc,Semiconductor,3674,NDQ,Foreign,13.1,0.01,966978,35.1,496.6,0.1,496.7,355,141.7,194.8,321.9,9.44,9.76,1.31,10,0.47,2.75,2.55,5.91,5.47,9.03,2.74,1.82,1.1,NA,0.2,NA,0.93,0,2.15,0.56,0,24.64,NA,0,0.43,0.29,1.47,0.27,0.31,39.3,219.9,27.5,17.94,52.6,60.08,57.6,64.88,32.96,0.04,0.14,0.29,0.44,0.64,11.5,4.8,50.4,321.9,50.9,0,0.02,0.03,0,0,0,0,NA,0.83
Sigmatron Int'l Inc.,Industrial Services,7300,NDQ,US,10.61,-0.04,11313,3.8,42,7.2,49.2,49,0.2,106.1,102.3,8.94,10.77,NA,NA,NA,0.92,0.4,4.5,3.48,0.93,0.93,0.46,0.48,NA,NA,NA,0.05,0.59,0.5,0.38,0.81,-0.32,0.14,0,-0.05,0.1,0.13,0.04,0.1,52.9,66.5,25.8,-0.92,4.7,10.9,6.65,14.1,6.98,0.39,0.24,0,0,0,3.8,3.2,10.9,102.3,3.9,0,0.01,0.4,0.17,0.15,0.14,0,NA,0.38
Signalife Inc,Computer Software/Svcs,3579,AMS,US,2.65,0.06,24300,34.8,92.9,1.1,94,91.7,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.89,44.76,NA,NA,NA,NA,NA,0,0,1.9,0.44,0,-0.1,NA,NA,NA,-6.7,NA,NA,NA,0.9,3.1,-0.8,0,-6.7,NA,NA,NA,NA,0,NA,0.02,NA,0.74,0,0.1,6.6,0,-8.5,0,0.1,0.03,0.01,0.01,0.52,0,NA,0
Signature Eyewear,Precision Instrument,3800,NDQ,US,0.6,0,750,6.2,3.8,7.3,11.1,10.6,0.5,23.6,24.3,NA,3.45,NA,NA,NA,NA,0.16,14.77,9.49,4.24,NA,0.45,0.44,NA,NA,NA,-0.07,4.49,1.05,NA,2.52,-0.38,0.36,NA,-0.53,NA,0.29,-0.02,0.03,2.5,9.9,0.6,0.02,-0.4,0.72,0.72,1.12,1.1,0,0.03,0.05,0.02,0.05,0,0.4,14.1,24.3,1.1,0,0,0.09,1.92,0.66,NA,0,NA,0
Signature Leisure Inc,Diversified Co.,9913,NDQ,Foreign,0.15,0.25,7683835,10.4,8.8,0.8,9.6,9.6,0,0.2,NA,NA,NA,NA,NA,NA,NA,44,NA,NA,NA,NA,48,NA,NA,NA,NA,0,0,0.65,0.95,0,0,NA,NA,0,NA,#DIV/0!,-9.5,-5.18,0,0,0,0,-1.9,-1.04,-1.04,-1.04,-1.04,0,0,0,NA,NA,0,0,1.2,0,0,0,NA,NA,0.09,0.08,NA,0,NA,0
Silgan Holdings,Packaging & Container,2640,NDQ,US,36.12,0,66157,37,1167.4,841.7,2009.1,1973.7,35.4,2420.4,2462,14.03,14.03,2.53,14.28,1.56,5.63,0.48,6.22,4.53,1.95,1.92,0.82,0.8,0.06,0.09,0.03,0.03,0.67,0.75,0.2,0.43,-12.1,0.31,0.18,-0.06,0.4,0.18,0.03,0.13,1013.7,1597.2,198,3.4,83.2,317.07,186.58,435.47,198.68,0.41,0.08,0.02,0.01,0.02,102.9,118.4,111.7,2462,83.2,14.8,0.12,0.5,0.72,0.42,0.8,0.01,0.4,0.63
Silicom Ltd,Computers/Peripherals,3573,NDQ,Foreign,8.64,-0.02,32222,4.2,36.7,0,36.7,35.1,1.6,4.6,9.4,NA,45.88,NA,NA,NA,12.23,7.98,NA,NA,25.07,12.23,7.63,3.73,NA,NA,NA,0.2,0,1.3,0.61,0,1.57,NA,NA,-1.44,-0.4,-0.78,-0.26,-0.24,1.4,5.5,1.5,1.57,-1.2,-1.09,-1.09,-0.99,-2.65,0,0.33,0.04,0.17,0.29,0.1,0.1,2.8,9.4,0.8,0,0,0.04,0,0,0,0,NA,0
Silicon Image,Entertainment Tech,3663,NDQ,US,9.07,-0.02,679287,78.1,733,0.5,733.5,640,93.5,173.2,197,NA,30.8,0.33,27.48,NA,6,4.23,110.3,53.32,21.99,5.98,3.7,3.25,NA,NA,0.21,0.55,3.15,2.15,0.41,0.7,0.36,0.91,NA,0.16,-0.01,0.08,0,0.03,29.1,154.9,4.1,0.56,-0.7,5.8,2.32,12,1.96,0.6,0.02,0.13,0.47,0.6,6,6.2,103.6,197,23.8,0,0.09,0.06,0,0,0,0,0.06,0.5
Silicon Labs.,Telecom. Equipment,4811,NDQ,US,36.66,-0.02,404629,52.5,2017,0,2017,1739.9,277.1,456.2,411.4,26.3,NA,1.19,30.81,2.1,5.05,4.42,13.79,11.94,14.21,5.05,3.81,4.23,NA,0.13,0.1,0.37,2.31,1.45,0.26,0.57,-0.72,0.82,0,-0.01,0.19,0.71,0.17,0.28,122.4,484.4,17.5,-1.72,76.7,126.18,86.73,145.68,87.45,0.31,0.04,0.14,0.67,0.57,20.5,19.5,143.3,411.4,0,0,0.13,0.07,0,0,0,0,0.19,0.83
